path,type,level,section,de,cau,option,language,key,alias,text,mode,status,error
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/96_2_d.png,nghe,topik2,listen,96,2,d,en,type=nghe|level=topik2|cau=2|opt=d|lang=en,topik2_listen_96_2_d,"The image shows a man and a woman standing in a room, working on a project together. They are surrounded by various tools and equipment, including a pair of scissors, a knife, and a pencil. There is also a chair in the room, and a cup placed nearby. The scene appears to be a workshop or a crafting area where the two individuals are collaborating on a project.",llava:llava-1.5-7b-hf,ok_new,
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/96_2_d.png,nghe,topik2,listen,96,2,d,ko,type=nghe|level=topik2|cau=2|opt=d|lang=ko,topik2_listen_96_2_d,,llava:llava-1.5-7b-hf,translate_fail,"Helsinki-NLP/opus-mt-en-ko is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/35_1_d.png,nghe,topik2,listen,35,1,d,en,type=nghe|level=topik2|cau=1|opt=d|lang=en,topik2_listen_35_1_d,The man is wearing a tie.,llava:llava-1.5-7b-hf,ok_new,
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/35_1_d.png,nghe,topik2,listen,35,1,d,ko,type=nghe|level=topik2|cau=1|opt=d|lang=ko,topik2_listen_35_1_d,,llava:llava-1.5-7b-hf,translate_fail,"Helsinki-NLP/opus-mt-en-ko is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/52_2_d.png,nghe,topik2,listen,52,2,d,en,type=nghe|level=topik2|cau=2|opt=d|lang=en,topik2_listen_52_2_d,"The image shows a man and a woman sitting at a table, having coffee together. The man is holding a cup of coffee, and the woman is holding a cup of tea. There are several cups on the table, as well as a bowl. The scene appears to be a comic or a cartoon, as the people are depicted in a humorous manner.",llava:llava-1.5-7b-hf,ok_new,
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/52_2_d.png,nghe,topik2,listen,52,2,d,ko,type=nghe|level=topik2|cau=2|opt=d|lang=ko,topik2_listen_52_2_d,,llava:llava-1.5-7b-hf,translate_fail,"Helsinki-NLP/opus-mt-en-ko is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/41_2_b.png,nghe,topik2,listen,41,2,b,en,type=nghe|level=topik2|cau=2|opt=b|lang=en,topik2_listen_41_2_b,"The image shows a man and a woman planting a tree together. The woman is holding a shovel, while the man is kneeling down to help with the planting. The scene is set in a yard with a bench visible in the background.",llava:llava-1.5-7b-hf,ok_new,
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/41_2_b.png,nghe,topik2,listen,41,2,b,ko,type=nghe|level=topik2|cau=2|opt=b|lang=ko,topik2_listen_41_2_b,,llava:llava-1.5-7b-hf,translate_fail,"Helsinki-NLP/opus-mt-en-ko is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/83_3_d.png,nghe,topik2,listen,83,3,d,en,type=nghe|level=topik2|cau=3|opt=d|lang=en,topik2_listen_83_3_d,The image is a pie chart with a 33% slice.,llava:llava-1.5-7b-hf,ok_new,
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/83_3_d.png,nghe,topik2,listen,83,3,d,ko,type=nghe|level=topik2|cau=3|opt=d|lang=ko,topik2_listen_83_3_d,,llava:llava-1.5-7b-hf,translate_fail,"Helsinki-NLP/opus-mt-en-ko is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
